,logFC,AveExpr,t,P.Value,adj.P.Val,B,sig_lfc1,sig_lfc1.5,sig_lfc2,sig_lfc3
ZSCAN18,0.737513003,8.430346927,4.354984099,8.14E-05,0.353826903,-0.569279797,Not Significant,Not Significant,Not Significant,Not Significant
MYOM1,-1.074807725,6.970136477,-4.31193738,9.33E-05,0.353826903,-0.637496398,Significant,Not Significant,Not Significant,Not Significant
CDC14B,-0.670027454,6.888196158,-4.065374552,0.000201247,0.509021662,-1.026600118,Not Significant,Not Significant,Not Significant,Not Significant
CTSC,-1.074528857,8.819764731,-3.852654812,0.000385745,0.546575883,-1.359004421,Significant,Not Significant,Not Significant,Not Significant
SUPT16H,-1.485897659,9.676105845,-3.795389856,0.000458547,0.546575883,-1.447786068,Significant,Not Significant,Not Significant,Not Significant
TUBA3C,-0.637370566,8.52547911,-3.78884096,0.000467673,0.546575883,-1.457917507,Not Significant,Not Significant,Not Significant,Not Significant
SREK1,-0.735790109,6.610823661,-3.763794303,0.000504221,0.546575883,-1.496622931,Not Significant,Not Significant,Not Significant,Not Significant
KRT18,-0.938352637,12.69665914,-3.61640879,0.000781855,0.666112776,-1.722892488,Not Significant,Not Significant,Not Significant,Not Significant
BTG3,1.626013745,8.76985065,3.599485938,0.000821859,0.666112776,-1.748696573,Significant,Significant,Not Significant,Not Significant
PON2,-1.054840828,9.524526325,-3.572805517,0.000888947,0.666112776,-1.789299662,Significant,Not Significant,Not Significant,Not Significant
CYB5B,-0.933844117,7.214085286,-3.544577629,0.000965635,0.666112776,-1.832149058,Not Significant,Not Significant,Not Significant,Not Significant
CLCN3,-0.824375649,8.567604898,-3.450132888,0.001270998,0.758785467,-1.97465683,Not Significant,Not Significant,Not Significant,Not Significant
SLIRP,0.737152095,11.24602288,3.405970732,0.001443617,0.758785467,-2.040813077,Not Significant,Not Significant,Not Significant,Not Significant
PDLIM1,-1.273416099,11.75791442,-3.390125935,0.001510835,0.758785467,-2.064470568,Significant,Not Significant,Not Significant,Not Significant
TOX4,-0.942686627,8.64193427,-3.382657356,0.001543543,0.758785467,-2.075607034,Not Significant,Not Significant,Not Significant,Not Significant
NDE1,-0.603737762,7.446520976,-3.340117776,0.001743097,0.758785467,-2.138854894,Not Significant,Not Significant,Not Significant,Not Significant
EXTL2,-0.733324265,9.911706244,-3.337951396,0.001753891,0.758785467,-2.142067387,Not Significant,Not Significant,Not Significant,Not Significant
SUCLG1,0.572754735,7.959333856,3.328843725,0.001799966,0.758785467,-2.155563869,Not Significant,Not Significant,Not Significant,Not Significant
NPR1,1.531012286,9.477707835,3.243760784,0.002289674,0.770683955,-2.280911699,Significant,Significant,Not Significant,Not Significant
SCYL2,1.209914225,8.950960567,3.215239099,0.002480394,0.770683955,-2.32262291,Significant,Not Significant,Not Significant,Not Significant
DNAJC22,-1.075369316,6.912057999,-3.210421055,0.002514062,0.770683955,-2.329653197,Significant,Not Significant,Not Significant,Not Significant
SPRY1,-1.459508211,8.99532084,-3.200357933,0.002585781,0.770683955,-2.344321962,Significant,Not Significant,Not Significant,Not Significant
GCNT1,-1.111873061,7.647572089,-3.198255976,0.002601004,0.770683955,-2.347383373,Significant,Not Significant,Not Significant,Not Significant
PRIM1,-1.190787577,8.996704792,-3.194464455,0.002628678,0.770683955,-2.352903316,Significant,Not Significant,Not Significant,Not Significant
HEXB,-0.804432727,10.78943882,-3.185419356,0.002695827,0.770683955,-2.366060036,Not Significant,Not Significant,Not Significant,Not Significant
FANCL,-1.010077858,9.539814594,-3.167714192,0.002831988,0.770683955,-2.391765194,Significant,Not Significant,Not Significant,Not Significant
TPBG,-1.365679254,8.420955294,-3.15529829,0.002931322,0.770683955,-2.409752666,Significant,Not Significant,Not Significant,Not Significant
NME2,0.663340767,12.24317783,3.153860871,0.002943032,0.770683955,-2.411833052,Not Significant,Not Significant,Not Significant,Not Significant
KIAA0040,-0.64146286,8.161265171,-3.148014979,0.002991114,0.770683955,-2.420289405,Not Significant,Not Significant,Not Significant,Not Significant
PEBP1,0.851071054,11.77678456,3.119958882,0.003232373,0.770683955,-2.460773607,Not Significant,Not Significant,Not Significant,Not Significant
HNRNPC,-0.37712866,9.565440857,-3.109879583,0.003323442,0.770683955,-2.475276779,Not Significant,Not Significant,Not Significant,Not Significant
SLCO2A1,-1.037041582,7.863634829,-3.096165797,0.003451239,0.770683955,-2.494974362,Significant,Not Significant,Not Significant,Not Significant
ACADS,0.723305458,8.032727621,3.092144891,0.003489578,0.770683955,-2.500741962,Not Significant,Not Significant,Not Significant,Not Significant
NDUFA10,0.35652882,7.258910144,3.075889846,0.003648695,0.770683955,-2.524022034,Not Significant,Not Significant,Not Significant,Not Significant
ARMCX2,1.278849964,11.00067598,3.064818103,0.003760957,0.770683955,-2.539845192,Significant,Not Significant,Not Significant,Not Significant
AP5S1,0.559777932,8.217516741,3.057517732,0.003836748,0.770683955,-2.550263511,Not Significant,Not Significant,Not Significant,Not Significant
NFIX,0.629821497,7.565008263,3.052070362,0.003894234,0.770683955,-2.558029612,Not Significant,Not Significant,Not Significant,Not Significant
SPCS3,-0.78686121,8.905695287,-3.045624006,0.003963309,0.770683955,-2.567211265,Not Significant,Not Significant,Not Significant,Not Significant
CXADR,1.538302779,9.40104557,3.028112242,0.004156811,0.770683955,-2.592105795,Significant,Significant,Not Significant,Not Significant
LTBP4,0.598646422,7.12467119,3.025006174,0.004192046,0.770683955,-2.596514005,Not Significant,Not Significant,Not Significant,Not Significant
CLDN6,-2.503208226,7.983140591,-3.021540023,0.004231696,0.770683955,-2.601430628,Significant,Significant,Significant,Not Significant
NCOA2,-0.814514933,7.443387904,-3.015979537,0.004296041,0.770683955,-2.60931219,Not Significant,Not Significant,Not Significant,Not Significant
RPL29,0.5766625,13.27085359,2.989703015,0.004612717,0.770683955,-2.646459508,Not Significant,Not Significant,Not Significant,Not Significant
NFAT5,-0.727034568,7.818946978,-2.97346085,0.004819269,0.770683955,-2.669339623,Not Significant,Not Significant,Not Significant,Not Significant
SETX,-0.557855631,7.960132038,-2.946114624,0.005186714,0.770683955,-2.707718683,Not Significant,Not Significant,Not Significant,Not Significant
GAB2,1.23677379,10.26219111,2.944280603,0.005212272,0.770683955,-2.710286141,Significant,Not Significant,Not Significant,Not Significant
TGM2,-1.139355538,8.01897396,-2.937023062,0.005314569,0.770683955,-2.720437931,Significant,Not Significant,Not Significant,Not Significant
TBC1D9,-0.694352173,8.723544938,-2.934171712,0.005355271,0.770683955,-2.724422835,Not Significant,Not Significant,Not Significant,Not Significant
GATA6,1.380348851,7.843206379,2.931755423,0.00538999,0.770683955,-2.727798153,Significant,Not Significant,Not Significant,Not Significant
ANXA1,-1.184949821,9.664264493,-2.921393259,0.005541282,0.770683955,-2.742256692,Significant,Not Significant,Not Significant,Not Significant
C21orf91,1.197678174,9.052504367,2.921009035,0.005546967,0.770683955,-2.742792295,Significant,Not Significant,Not Significant,Not Significant
LSS,0.75394239,7.463910815,2.917223377,0.005603276,0.770683955,-2.748067488,Not Significant,Not Significant,Not Significant,Not Significant
DHCR24,1.174060591,11.82222887,2.915857201,0.005623727,0.770683955,-2.749970333,Significant,Not Significant,Not Significant,Not Significant
METTL17,-0.622031305,9.364784864,-2.915846418,0.005623889,0.770683955,-2.749985349,Not Significant,Not Significant,Not Significant,Not Significant
KLHL2,-1.117870084,8.433920708,-2.914491911,0.005644235,0.770683955,-2.751871478,Significant,Not Significant,Not Significant,Not Significant
NUP210,-0.821941686,8.114452041,-2.911613209,0.005687704,0.770683955,-2.755878499,Not Significant,Not Significant,Not Significant,Not Significant
HOXC6,-1.755557303,8.775130146,-2.872537254,0.006309522,0.826649767,-2.810063403,Significant,Significant,Not Significant,Not Significant
COX6A1,0.470900945,9.574852669,2.862907809,0.006472199,0.826649767,-2.823356192,Not Significant,Not Significant,Not Significant,Not Significant
ZC3H7A,-0.680122782,8.274326733,-2.85643289,0.00658377,0.826649767,-2.832280877,Not Significant,Not Significant,Not Significant,Not Significant
LITAF,-0.700043322,8.485244772,-2.85153504,0.006669353,0.826649767,-2.839024571,Not Significant,Not Significant,Not Significant,Not Significant
ATP5PO,0.499321699,9.226144334,2.841558366,0.006846892,0.826649767,-2.852741744,Not Significant,Not Significant,Not Significant,Not Significant
PLXNA2,-0.686518895,7.795175437,-2.840259752,0.006870322,0.826649767,-2.85452532,Not Significant,Not Significant,Not Significant,Not Significant
MRPS22,0.590302782,9.492227646,2.827993488,0.007095341,0.826649767,-2.871350431,Not Significant,Not Significant,Not Significant,Not Significant
CPNE7,0.536387447,7.187940216,2.827851241,0.00709799,0.826649767,-2.871545312,Not Significant,Not Significant,Not Significant,Not Significant
NDUFB7,0.530139078,6.772003426,2.822571522,0.007196971,0.826649767,-2.878774812,Not Significant,Not Significant,Not Significant,Not Significant
GTF2I,-0.743740917,10.77225689,-2.822092137,0.007206022,0.826649767,-2.879430865,Not Significant,Not Significant,Not Significant,Not Significant
FAM117A,0.751414726,9.124326738,2.817194388,0.007299095,0.826649767,-2.886130076,Not Significant,Not Significant,Not Significant,Not Significant
GPI,0.910965403,11.91385671,2.801558179,0.007603759,0.848157316,-2.90747452,Not Significant,Not Significant,Not Significant,Not Significant
KLHL25,-0.47540865,7.869239086,-2.79611514,0.007712553,0.848157316,-2.914889174,Not Significant,Not Significant,Not Significant,Not Significant
RAB27A,-1.099825219,8.450841614,-2.774508034,0.008158829,0.861667744,-2.944243516,Significant,Not Significant,Not Significant,Not Significant
HOXA4,-1.227288585,7.534095774,-2.773383126,0.008182705,0.861667744,-2.945768263,Significant,Not Significant,Not Significant,Not Significant
ZBTB22,0.583370185,8.538302123,2.770096408,0.008252839,0.861667744,-2.950221223,Not Significant,Not Significant,Not Significant,Not Significant
CFAP410,0.39109106,7.204623303,2.768382373,0.008289634,0.861667744,-2.952542278,Not Significant,Not Significant,Not Significant,Not Significant
TLN2,0.417293356,7.399394942,2.758359095,0.008507864,0.862466467,-2.966099012,Not Significant,Not Significant,Not Significant,Not Significant
CTSO,-0.943898901,9.575833318,-2.756269506,0.008554024,0.862466467,-2.968921726,Not Significant,Not Significant,Not Significant,Not Significant
FAM162A,0.650887747,9.963486631,2.752425388,0.008639548,0.862466467,-2.974111369,Not Significant,Not Significant,Not Significant,Not Significant
THAP4,0.691647445,9.503403734,2.740778315,0.008903524,0.862466467,-2.989809989,Not Significant,Not Significant,Not Significant,Not Significant
RPA3,-0.966053921,10.06093186,-2.722485487,0.009333214,0.862466467,-3.014389172,Not Significant,Not Significant,Not Significant,Not Significant
CIB1,-0.650359809,10.16161551,-2.721016876,0.009368528,0.862466467,-3.016358366,Not Significant,Not Significant,Not Significant,Not Significant
GSTZ1,1.121617586,8.481019856,2.719124576,0.009414213,0.862466467,-3.018894762,Significant,Not Significant,Not Significant,Not Significant
ADAMTS1,1.972184796,9.432812741,2.714751436,0.009520579,0.862466467,-3.024752519,Significant,Significant,Not Significant,Not Significant
PGM1,0.930383035,11.09075269,2.714728317,0.009521144,0.862466467,-3.024783472,Not Significant,Not Significant,Not Significant,Not Significant
TRIB1,-0.826817726,7.713278592,-2.707427111,0.009701213,0.862466467,-3.034551113,Not Significant,Not Significant,Not Significant,Not Significant
ARHGEF40,-0.682418143,7.032969203,-2.69449687,0.010027838,0.862466467,-3.051811802,Not Significant,Not Significant,Not Significant,Not Significant
PPID,-0.750109672,9.581536678,-2.677441026,0.010474188,0.862466467,-3.074505829,Not Significant,Not Significant,Not Significant,Not Significant
CBR4,-0.856603706,7.45934112,-2.676636372,0.010495691,0.862466467,-3.075574389,Not Significant,Not Significant,Not Significant,Not Significant
LEF1,-1.201738907,7.5531914,-2.673114268,0.010590292,0.862466467,-3.080249418,Significant,Not Significant,Not Significant,Not Significant
VDR,-0.739643808,7.702072771,-2.67283854,0.010597731,0.862466467,-3.080615249,Not Significant,Not Significant,Not Significant,Not Significant
NRIP1,1.656277063,9.976373107,2.671629177,0.010630415,0.862466467,-3.08221955,Significant,Significant,Not Significant,Not Significant
ZNF592,-0.449854246,8.501437441,-2.668151037,0.010724933,0.862466467,-3.086831144,Not Significant,Not Significant,Not Significant,Not Significant
DDHD2,1.146163827,8.676804454,2.663675889,0.010847683,0.862466467,-3.092759423,Significant,Not Significant,Not Significant,Not Significant
TPR,-0.849343574,7.892122104,-2.660776234,0.010927907,0.862466467,-3.096597481,Not Significant,Not Significant,Not Significant,Not Significant
TGS1,-0.498021653,7.874153236,-2.659305132,0.010968816,0.862466467,-3.098543721,Not Significant,Not Significant,Not Significant,Not Significant
ATG4B,0.525339867,9.620506038,2.65846844,0.010992146,0.862466467,-3.099650363,Not Significant,Not Significant,Not Significant,Not Significant
POGK,-0.663306137,7.456538008,-2.647743139,0.011295272,0.862466467,-3.113817724,Not Significant,Not Significant,Not Significant,Not Significant
STK25,0.627276936,9.173512922,2.646121047,0.01134178,0.862466467,-3.11595742,Not Significant,Not Significant,Not Significant,Not Significant
EVPL,0.566000372,8.281425406,2.645456713,0.011360878,0.862466467,-3.116833514,Not Significant,Not Significant,Not Significant,Not Significant
TMEM106C,-0.732261442,8.472428037,-2.61919791,0.01213985,0.862466467,-3.151356669,Not Significant,Not Significant,Not Significant,Not Significant
APRT,0.775607092,10.02656579,2.618011324,0.012176181,0.862466467,-3.152911803,Not Significant,Not Significant,Not Significant,Not Significant
ARFGAP3,-0.733027428,9.573955024,-2.61510462,0.012265601,0.862466467,-3.156719517,Not Significant,Not Significant,Not Significant,Not Significant
GCHFR,-1.23041941,8.582642505,-2.612567482,0.012344144,0.862466467,-3.160041015,Significant,Not Significant,Not Significant,Not Significant
EYA3,0.30658617,6.792995937,2.606493274,0.012534061,0.862466467,-3.167985124,Not Significant,Not Significant,Not Significant,Not Significant
RAP2C,-0.716296832,8.781826262,-2.605682201,0.012559622,0.862466467,-3.169045031,Not Significant,Not Significant,Not Significant,Not Significant
SIPA1,-0.567822784,8.207545653,-2.601272148,0.012699442,0.862466467,-3.174804551,Not Significant,Not Significant,Not Significant,Not Significant
MCM6,-0.941570299,8.13968732,-2.601099517,0.012704945,0.862466467,-3.175029886,Not Significant,Not Significant,Not Significant,Not Significant
ACY1,0.59149193,8.036807127,2.600866651,0.01271237,0.862466467,-3.17533383,Not Significant,Not Significant,Not Significant,Not Significant
TNK1,0.494363777,8.806243282,2.600616939,0.012720337,0.862466467,-3.175659745,Not Significant,Not Significant,Not Significant,Not Significant
CLU,1.525580366,9.345968135,2.598934773,0.012774125,0.862466467,-3.177854747,Significant,Significant,Not Significant,Not Significant
HAUS7,-0.808935908,8.131449448,-2.596924464,0.01283868,0.862466467,-3.180476798,Not Significant,Not Significant,Not Significant,Not Significant
ZNF75D,-0.503286635,6.515187087,-2.589690732,0.013073446,0.862466467,-3.189901508,Not Significant,Not Significant,Not Significant,Not Significant
GYG1,0.839364167,10.72895466,2.584093988,0.013257775,0.862466467,-3.197182365,Not Significant,Not Significant,Not Significant,Not Significant
SMCHD1,-0.596240524,7.335047487,-2.575952685,0.013530156,0.862466467,-3.207756187,Not Significant,Not Significant,Not Significant,Not Significant
AMBRA1,-0.398235854,6.820512205,-2.574276575,0.013586864,0.862466467,-3.209930547,Not Significant,Not Significant,Not Significant,Not Significant
GLYR1,-0.747059726,8.31969135,-2.573799393,0.013603049,0.862466467,-3.21054942,Not Significant,Not Significant,Not Significant,Not Significant
MCM7,-0.897792353,9.885310482,-2.567996218,0.013801288,0.862466467,-3.218070076,Not Significant,Not Significant,Not Significant,Not Significant
METTL3,-0.824857857,8.688861642,-2.56363655,0.01395195,0.862466467,-3.223713108,Not Significant,Not Significant,Not Significant,Not Significant
ERLIN1,-0.842708963,9.217657571,-2.561574306,0.01402374,0.862466467,-3.226380351,Not Significant,Not Significant,Not Significant,Not Significant
RRP1,0.415875882,7.81457322,2.559550853,0.014094507,0.862466467,-3.228996128,Not Significant,Not Significant,Not Significant,Not Significant
SLC35D2,-0.49745692,7.528960489,-2.557847921,0.014154317,0.862466467,-3.231196567,Not Significant,Not Significant,Not Significant,Not Significant
SERP1,0.524794374,10.4934118,2.556875337,0.01418858,0.862466467,-3.232452879,Not Significant,Not Significant,Not Significant,Not Significant
MCM5,-0.750059307,8.653445084,-2.554466854,0.014273753,0.862466467,-3.235562705,Not Significant,Not Significant,Not Significant,Not Significant
SPATA20,0.788315455,9.767853441,2.55444318,0.014274593,0.862466467,-3.235593263,Not Significant,Not Significant,Not Significant,Not Significant
GYS1,0.615851777,9.364783139,2.541887743,0.014726236,0.862466467,-3.25177514,Not Significant,Not Significant,Not Significant,Not Significant
PHTF1,-0.757172738,7.437702764,-2.540993081,0.014758911,0.862466467,-3.252926312,Not Significant,Not Significant,Not Significant,Not Significant
FBXO38,-0.476710126,8.456094672,-2.528750169,0.015212744,0.862466467,-3.268653892,Not Significant,Not Significant,Not Significant,Not Significant
HTATSF1,-0.613063721,8.76326341,-2.526145805,0.015310911,0.862466467,-3.271993378,Not Significant,Not Significant,Not Significant,Not Significant
IDS,-0.60250339,7.500841784,-2.525120627,0.015349712,0.862466467,-3.273307334,Not Significant,Not Significant,Not Significant,Not Significant
NRGN,-1.111627599,7.772599867,-2.524773917,0.015362854,0.862466467,-3.273751631,Significant,Not Significant,Not Significant,Not Significant
PSMC3IP,-0.558156566,7.756879441,-2.522811167,0.015437447,0.862466467,-3.276266107,Not Significant,Not Significant,Not Significant,Not Significant
STX3,-0.623649823,8.121426099,-2.520403949,0.015529383,0.862466467,-3.279348307,Not Significant,Not Significant,Not Significant,Not Significant
FEN1,-0.964308151,9.678998523,-2.519869929,0.015549845,0.862466467,-3.280031814,Not Significant,Not Significant,Not Significant,Not Significant
ZNF787,0.410174252,7.135982915,2.5081667,0.0160045,0.862466467,-3.294988122,Not Significant,Not Significant,Not Significant,Not Significant
PWP2,0.347174962,8.089697178,2.507928005,0.016013898,0.862466467,-3.295292708,Not Significant,Not Significant,Not Significant,Not Significant
ECSIT,0.73359882,8.7196297,2.507895262,0.016015187,0.862466467,-3.295334488,Not Significant,Not Significant,Not Significant,Not Significant
GSPT1,-0.580092796,7.795946049,-2.506705732,0.016062098,0.862466467,-3.296852092,Not Significant,Not Significant,Not Significant,Not Significant
ZNF219,-0.445382033,7.378159501,-2.501924264,0.016251927,0.862466467,-3.302947689,Not Significant,Not Significant,Not Significant,Not Significant
ABHD17B,-0.428945873,7.497952948,-2.498237227,0.016399697,0.862466467,-3.307643013,Not Significant,Not Significant,Not Significant,Not Significant
TMEM120B,0.468054355,7.817369656,2.497260664,0.016439041,0.862466467,-3.308885897,Not Significant,Not Significant,Not Significant,Not Significant
SLC16A5,0.778448057,7.862841746,2.487899357,0.016820559,0.862466467,-3.320784425,Not Significant,Not Significant,Not Significant,Not Significant
DENND3,-0.729219975,7.515127677,-2.487613596,0.016832331,0.862466467,-3.321147188,Not Significant,Not Significant,Not Significant,Not Significant
CDC45,-0.847871207,7.767158193,-2.486235468,0.016889207,0.862466467,-3.322896296,Not Significant,Not Significant,Not Significant,Not Significant
ZNF510,-0.496428529,7.993126424,-2.483578026,0.016999374,0.862466467,-3.326267347,Not Significant,Not Significant,Not Significant,Not Significant
ANKRD10,-0.530573904,6.745518897,-2.47988206,0.017153679,0.862466467,-3.330951961,Not Significant,Not Significant,Not Significant,Not Significant
FURIN,-0.457886334,8.699599467,-2.477251021,0.017264298,0.862466467,-3.334284061,Not Significant,Not Significant,Not Significant,Not Significant
FYN,-1.203735864,8.47093912,-2.475033984,0.017358013,0.862466467,-3.337090082,Significant,Not Significant,Not Significant,Not Significant
DDX46,-0.420330783,9.222377479,-2.470106,0.017567977,0.862466467,-3.343321463,Not Significant,Not Significant,Not Significant,Not Significant
PLCD1,0.517134816,9.447031852,2.469541587,0.017592171,0.862466467,-3.344034647,Not Significant,Not Significant,Not Significant,Not Significant
HDLBP,0.385933613,8.708894009,2.467698071,0.017671406,0.862466467,-3.346363355,Not Significant,Not Significant,Not Significant,Not Significant
SDC1,-1.690241323,9.406622073,-2.467169768,0.017694172,0.862466467,-3.347030495,Significant,Significant,Not Significant,Not Significant
LIMS1,-0.651734852,7.563993116,-2.464961147,0.017789637,0.862466467,-3.349818539,Not Significant,Not Significant,Not Significant,Not Significant
COL4A5,0.834528746,7.111616627,2.462393791,0.017901195,0.862466467,-3.353057406,Not Significant,Not Significant,Not Significant,Not Significant
INHBB,-1.681328195,9.119062149,-2.460503134,0.017983754,0.862466467,-3.355441186,Significant,Significant,Not Significant,Not Significant
PLAGL2,-0.632511584,8.394351607,-2.457743601,0.018104873,0.862466467,-3.358918336,Not Significant,Not Significant,Not Significant,Not Significant
EXD2,0.409952529,7.788956608,2.456234926,0.018171403,0.862466467,-3.360818276,Not Significant,Not Significant,Not Significant,Not Significant
SETD3,0.482285861,8.40477355,2.454351182,0.018254784,0.862466467,-3.363189496,Not Significant,Not Significant,Not Significant,Not Significant
MXI1,0.911754887,10.65391653,2.449338828,0.018478339,0.862466467,-3.369493206,Not Significant,Not Significant,Not Significant,Not Significant
THOC7,0.557657344,9.905657218,2.448841275,0.018500665,0.862466467,-3.37011849,Not Significant,Not Significant,Not Significant,Not Significant
PELI2,0.732716698,7.200918193,2.448416648,0.018519738,0.862466467,-3.370652061,Not Significant,Not Significant,Not Significant,Not Significant
FAM90A1,0.569062932,7.487410377,2.447650813,0.018554182,0.862466467,-3.37161423,Not Significant,Not Significant,Not Significant,Not Significant
DGKZ,-0.454720326,8.170121666,-2.445612796,0.018646126,0.862466467,-3.374173772,Not Significant,Not Significant,Not Significant,Not Significant
RFK,-0.909510737,9.797816468,-2.443910038,0.018723262,0.862466467,-3.3763112,Not Significant,Not Significant,Not Significant,Not Significant
ADGRG1,-1.083042489,9.767597195,-2.44341672,0.018745663,0.862466467,-3.376930269,Significant,Not Significant,Not Significant,Not Significant
TMEM176A,-1.313724359,9.785423273,-2.442816121,0.018772969,0.862466467,-3.377683855,Significant,Not Significant,Not Significant,Not Significant
NPRL3,0.396709297,7.839904774,2.43732399,0.01902434,0.862466467,-3.384569372,Not Significant,Not Significant,Not Significant,Not Significant
MVK,0.288393502,7.633088149,2.43569757,0.019099363,0.862466467,-3.386606486,Not Significant,Not Significant,Not Significant,Not Significant
EWSR1,-0.459218807,7.99997422,-2.434386182,0.019160048,0.862466467,-3.388248371,Not Significant,Not Significant,Not Significant,Not Significant
SMARCA5,-0.723416309,9.228953694,-2.434180249,0.019169594,0.862466467,-3.388506151,Not Significant,Not Significant,Not Significant,Not Significant
SLC41A3,0.670347617,9.21731383,2.434067116,0.01917484,0.862466467,-3.388647762,Not Significant,Not Significant,Not Significant,Not Significant
GCN1,0.633648291,9.000036072,2.427286898,0.019491613,0.862466467,-3.397126789,Not Significant,Not Significant,Not Significant,Not Significant
MKI67,-1.15855583,8.310531294,-2.425810695,0.019561206,0.862466467,-3.398970809,Significant,Not Significant,Not Significant,Not Significant
PCNT,0.316774025,7.258578235,2.425031378,0.019598036,0.862466467,-3.399944007,Not Significant,Not Significant,Not Significant,Not Significant
UNC119B,0.499581832,7.71361099,2.423599684,0.019665861,0.862466467,-3.40173135,Not Significant,Not Significant,Not Significant,Not Significant
CCP110,-0.547117456,7.60093466,-2.420536253,0.019811699,0.862466467,-3.405553444,Not Significant,Not Significant,Not Significant,Not Significant
SLC6A7,0.307842729,6.990518861,2.413608616,0.020145109,0.862466467,-3.414185008,Not Significant,Not Significant,Not Significant,Not Significant
CBX5,-0.823064153,7.885335793,-2.411290766,0.020257788,0.862466467,-3.417069324,Not Significant,Not Significant,Not Significant,Not Significant
MAST1,0.37539165,6.621134037,2.406265345,0.020504048,0.862466467,-3.423316648,Not Significant,Not Significant,Not Significant,Not Significant
NPAT,-0.423160762,7.436353566,-2.40130588,0.020749723,0.862466467,-3.429473541,Not Significant,Not Significant,Not Significant,Not Significant
GLRX5,0.582168152,11.01246282,2.401290475,0.02075049,0.862466467,-3.429492653,Not Significant,Not Significant,Not Significant,Not Significant
DHRS11,1.249622343,7.838864479,2.401101773,0.02075989,0.862466467,-3.429726749,Significant,Not Significant,Not Significant,Not Significant
MXRA7,0.760567016,8.81446499,2.399911648,0.020819265,0.862466467,-3.431202889,Not Significant,Not Significant,Not Significant,Not Significant
TRAPPC6A,0.89172635,9.409935198,2.39966977,0.020831351,0.862466467,-3.431502836,Not Significant,Not Significant,Not Significant,Not Significant
BUB3,-0.529544646,8.842209275,-2.395342759,0.02104863,0.862466467,-3.436865287,Not Significant,Not Significant,Not Significant,Not Significant
CCDC92,0.658661607,9.760745403,2.395100057,0.021060877,0.862466467,-3.437165878,Not Significant,Not Significant,Not Significant,Not Significant
NUDT21,-0.859752323,9.287522495,-2.392097253,0.021212941,0.862466467,-3.440883222,Not Significant,Not Significant,Not Significant,Not Significant
PTK2,-0.643152707,8.395128515,-2.389054787,0.021368022,0.862466467,-3.444646509,Not Significant,Not Significant,Not Significant,Not Significant
SLC7A6,-0.593932081,6.956127704,-2.388848965,0.02137855,0.862466467,-3.444900979,Not Significant,Not Significant,Not Significant,Not Significant
NAA40,-0.57554531,8.979493827,-2.385812525,0.021534411,0.862466467,-3.448653425,Not Significant,Not Significant,Not Significant,Not Significant
KRT8,-0.985609326,11.89749532,-2.38361673,0.021647759,0.862466467,-3.451365018,Not Significant,Not Significant,Not Significant,Not Significant
RHOC,-0.562200832,8.969491749,-2.381176452,0.021774357,0.862466467,-3.454376574,Not Significant,Not Significant,Not Significant,Not Significant
ARMCX3,-0.729642904,9.237780333,-2.380450628,0.021812141,0.862466467,-3.45527192,Not Significant,Not Significant,Not Significant,Not Significant
CHD8,-0.792089058,9.668243203,-2.379429107,0.021865417,0.862466467,-3.456531717,Not Significant,Not Significant,Not Significant,Not Significant
GTF3C5,-0.573273973,8.712614919,-2.378197416,0.02192981,0.862466467,-3.458050226,Not Significant,Not Significant,Not Significant,Not Significant
PSRC1,-1.111336865,8.999685916,-2.378064943,0.021936746,0.862466467,-3.458213516,Significant,Not Significant,Not Significant,Not Significant
MREG,-1.120655175,8.383672254,-2.37328643,0.022188259,0.865048705,-3.464099595,Significant,Not Significant,Not Significant,Not Significant
NVL,-0.562096616,8.403554277,-2.372490012,0.022230429,0.865048705,-3.465079838,Not Significant,Not Significant,Not Significant,Not Significant
TDRD7,-0.856709228,8.719904856,-2.368047883,0.022466966,0.866396971,-3.470543237,Not Significant,Not Significant,Not Significant,Not Significant
MTMR11,-0.607753557,8.064773805,-2.367177199,0.022513593,0.866396971,-3.471613293,Not Significant,Not Significant,Not Significant,Not Significant
GALNT7,-0.835139985,8.594115146,-2.365426378,0.022607617,0.866396971,-3.473764223,Not Significant,Not Significant,Not Significant,Not Significant
RIPK2,-0.861847719,8.928545656,-2.360690165,0.022863739,0.868822494,-3.479577437,Not Significant,Not Significant,Not Significant,Not Significant
STIMATE,0.396145513,7.374881684,2.359529787,0.022926885,0.868822494,-3.481000488,Not Significant,Not Significant,Not Significant,Not Significant
SDF2L1,-1.005831347,9.034167359,-2.351751243,0.023354251,0.868822494,-3.490527699,Significant,Not Significant,Not Significant,Not Significant
HOXA3,-1.182121002,6.966264675,-2.34751469,0.023590012,0.868822494,-3.49570774,Significant,Not Significant,Not Significant,Not Significant
EXOSC9,-0.591196579,8.34814318,-2.346562755,0.02364328,0.868822494,-3.496870805,Not Significant,Not Significant,Not Significant,Not Significant
REV3L,-0.603618884,7.433244204,-2.343642385,0.023807371,0.868822494,-3.500436899,Not Significant,Not Significant,Not Significant,Not Significant
PRODH2,0.37857623,7.075405716,2.34305007,0.023840777,0.868822494,-3.501159814,Not Significant,Not Significant,Not Significant,Not Significant
DDX49,0.461388126,7.811339566,2.342592573,0.023866608,0.868822494,-3.501718101,Not Significant,Not Significant,Not Significant,Not Significant
